Launching algorithm with 108 blocks and 64 threads
markerMatrix read successfully :)
Converting into CSR ... 
generating input and output vectors for the moltiplication... 
copying data in the CUDA memory... 
performing matrix to vector multiplication...
thread 35 57 on row 172738
thread 36 57 on row 172785
thread 37 57 on row 172832
thread 38 57 on row 172879
thread 39 57 on row 172926
thread 40 57 on row 172973
thread 41 57 on row 173020
thread 42 57 on row 173067
thread 43 57 on row 173114
thread 44 57 on row 173161
thread 45 57 on row 173208
thread 46 57 on row 173255
thread 47 57 on row 173302
thread 48 57 on row 173349
thread 49 57 on row 173396
thread 50 57 on row 173443
thread 51 57 on row 173490
thread 52 57 on row 173537
thread 53 57 on row 173584
thread 54 57 on row 173631
thread 55 57 on row 173678
thread 56 57 on row 173725
thread 57 57 on row 173772
thread 58 57 on row 173819
thread 59 57 on row 173866
thread 60 57 on row 173913
thread 61 57 on row 173960
thread 62 57 on row 174007
thread 63 57 on row 174054
thread 32 10 on row 31536
thread 33 10 on row 31583
thread 34 10 on row 31630
thread 35 10 on row 31677
thread 36 10 on row 31724
thread 37 10 on row 31771
thread 38 10 on row 31818
thread 39 10 on row 31865
thread 40 10 on row 31912
thread 41 10 on row 31959
thread 42 10 on row 32006
thread 43 10 on row 32053
thread 44 10 on row 32100
thread 45 10 on row 32147
thread 46 10 on row 32194
thread 47 10 on row 32241
thread 48 10 on row 32288
thread 49 10 on row 32335
thread 50 10 on row 32382
thread 51 10 on row 32429
thread 52 10 on row 32476
thread 53 10 on row 32523
thread 54 10 on row 32570
thread 55 10 on row 32617
thread 56 10 on row 32664
thread 57 10 on row 32711
thread 58 10 on row 32758
thread 59 10 on row 32805
thread 60 10 on row 32852
thread 61 10 on row 32899
thread 62 10 on row 32946
thread 63 10 on row 32993
thread 0 41 on row 123078
thread 1 41 on row 123125
thread 2 41 on row 123172
thread 3 41 on row 123219
thread 4 41 on row 123266
thread 5 41 on row 123313
thread 6 41 on row 123360
thread 7 41 on row 123407
thread 8 41 on row 123454
thread 9 41 on row 123501
thread 10 41 on row 123548
thread 11 41 on row 123595
thread 12 41 on row 123642
thread 13 41 on row 123689
thread 14 41 on row 123736
thread 15 41 on row 123783
thread 16 41 on row 123830
thread 17 41 on row 123877
thread 18 41 on row 123924
thread 19 41 on row 123971
thread 20 41 on row 124018
thread 21 41 on row 124065
thread 22 41 on row 124112
thread 23 41 on row 124159
thread 24 41 on row 124206
thread 25 41 on row 124253
thread 26 41 on row 124300
thread 27 41 on row 124347
thread 28 41 on row 124394
thread 29 41 on row 124441
thread 30 41 on row 124488
thread 31 41 on row 124535
thread 32 51 on row 154593
thread 33 51 on row 154640
thread 34 51 on row 154687
thread 35 51 on row 154734
thread 36 51 on row 154781
thread 37 51 on row 154828
thread 38 51 on row 154875
thread 39 51 on row 154922
thread 40 51 on row 154969
thread 41 51 on row 155016
thread 42 51 on row 155063
thread 43 51 on row 155110
thread 44 51 on row 155157
thread 45 51 on row 155204
thread 46 51 on row 155251
thread 47 51 on row 155298
thread 48 51 on row 155345
thread 49 51 on row 155392
thread 50 51 on row 155439
thread 51 51 on row 155486
thread 52 51 on row 155533
thread 53 51 on row 155580
thread 54 51 on row 155627
thread 55 51 on row 155674
thread 56 51 on row 155721
thread 57 51 on row 155768
thread 58 51 on row 155815
thread 59 51 on row 155862
thread 60 51 on row 155909
thread 61 51 on row 155956
thread 62 51 on row 156003
thread 63 51 on row 156050
thread 0 37 on row 111073
thread 1 37 on row 111120
thread 2 37 on row 111167
thread 3 37 on row 111214
thread 4 37 on row 111261
thread 5 37 on row 111308
thread 6 37 on row 111355
thread 7 37 on row 111402
thread 8 37 on row 111449
thread 9 37 on row 111496
thread 10 37 on row 111543
thread 11 37 on row 111590
thread 12 37 on row 111637
thread 13 37 on row 111684
thread 14 37 on row 111731
thread 15 37 on row 111778
thread 16 37 on row 111825
thread 17 37 on row 111872
thread 18 37 on row 111919
thread 19 37 on row 111966
thread 20 37 on row 112013
thread 21 37 on row 112060
thread 22 37 on row 112107
thread 23 37 on row 112154
thread 24 37 on row 112201
thread 25 37 on row 112248
thread 26 37 on row 112295
thread 27 37 on row 112342
thread 28 37 on row 112389
thread 29 37 on row 112436
thread 30 37 on row 112483
thread 31 37 on row 112530
thread 0 58 on row 174095
thread 1 58 on row 174142
thread 2 58 on row 174189
thread 3 58 on row 174236
thread 4 58 on row 174283
thread 5 58 on row 174330
thread 6 58 on row 174377
thread 7 58 on row 174424
thread 8 58 on row 174471
thread 9 58 on row 174518
thread 10 58 on row 174565
thread 11 58 on row 174612
thread 12 58 on row 174659
thread 13 58 on row 174706
thread 14 58 on row 174753
thread 15 58 on row 174800
thread 16 58 on row 174847
thread 17 58 on row 174894
thread 18 58 on row 174941
thread 19 58 on row 174988
thread 20 58 on row 175035
thread 21 58 on row 175082
thread 22 58 on row 175129
thread 23 58 on row 175176
thread 24 58 on row 175223
thread 25 58 on row 175270
thread 26 58 on row 175317
thread 27 58 on row 175364
thread 28 58 on row 175411
thread 29 58 on row 175458
thread 30 58 on row 175505
thread 31 58 on row 175552
thread 32 61 on row 184603
thread 33 61 on row 184650
thread 34 61 on row 184697
thread 35 61 on row 184744
thread 36 61 on row 184791
thread 37 61 on row 184838
thread 38 61 on row 184885
thread 39 61 on row 184932
thread 40 61 on row 184979
thread 41 61 on row 185026
thread 42 61 on row 185073
thread 43 61 on row 185120
thread 44 61 on row 185167
thread 45 61 on row 185214
thread 46 61 on row 185261
thread 47 61 on row 185308
thread 48 61 on row 185355
thread 49 61 on row 185402
thread 50 61 on row 185449
thread 51 61 on row 185496
thread 52 61 on row 185543
thread 53 61 on row 185590
thread 54 61 on row 185637
thread 55 61 on row 185684
thread 56 61 on row 185731
thread 57 61 on row 185778
thread 58 61 on row 185825
thread 59 61 on row 185872
thread 60 61 on row 185919
thread 61 61 on row 185966
thread 62 61 on row 186013
thread 63 61 on row 186060
thread 0 93 on row 279118
thread 1 93 on row 279165
thread 2 93 on row 279212
thread 3 93 on row 279259
thread 4 93 on row 279306
thread 5 93 on row 279353
thread 6 93 on row 279400
thread 7 93 on row 279447
thread 8 93 on row 279494
thread 9 93 on row 279541
thread 10 93 on row 279588
thread 11 93 on row 279635
thread 12 93 on row 279682
thread 13 93 on row 279729
thread 14 93 on row 279776
thread 15 93 on row 279823
thread 16 93 on row 279870
thread 17 93 on row 279917
thread 18 93 on row 279964
thread 19 93 on row 280011
thread 20 93 on row 280058
thread 21 93 on row 280105
thread 22 93 on row 280152
thread 23 93 on row 280199
thread 24 93 on row 280246
thread 25 93 on row 280293
thread 26 93 on row 280340
thread 27 93 on row 280387
thread 28 93 on row 280434
thread 29 93 on row 280481
thread 30 93 on row 280528
thread 31 93 on row 280575
thread 0 48 on row 144085
thread 1 48 on row 144132
thread 2 48 on row 144179
thread 3 48 on row 144226
thread 4 48 on row 144273
thread 5 48 on row 144320
thread 6 48 on row 144367
thread 7 48 on row 144414
thread 8 48 on row 144461
thread 9 48 on row 144508
thread 10 48 on row 144555
thread 11 48 on row 144602
thread 12 48 on row 144649
thread 13 48 on row 144696
thread 14 48 on row 144743
thread 15 48 on row 144790
thread 16 48 on row 144837
thread 17 48 on row 144884
thread 18 48 on row 144931
thread 19 48 on row 144978
thread 20 48 on row 145025
thread 21 48 on row 145072
thread 22 48 on row 145119
thread 23 48 on row 145166
thread 24 48 on row 145213
thread 25 48 on row 145260
thread 26 48 on row 145307
thread 27 48 on row 145354
thread 28 48 on row 145401
thread 29 48 on row 145448
thread 30 48 on row 145495
thread 31 48 on row 145542
thread 0 72 on row 216100
thread 1 72 on row 216147
thread 2 72 on row 216194
thread 3 72 on row 216241
thread 4 72 on row 216288
thread 5 72 on row 216335
thread 6 72 on row 216382
thread 7 72 on row 216429
thread 8 72 on row 216476
thread 9 72 on row 216523
thread 10 72 on row 216570
thread 11 72 on row 216617
thread 12 72 on row 216664
thread 13 72 on row 216711
thread 14 72 on row 216758
thread 15 72 on row 216805
thread 16 72 on row 216852
thread 17 72 on row 216899
thread 18 72 on row 216946
thread 19 72 on row 216993
thread 20 72 on row 217040
thread 21 72 on row 217087
thread 22 72 on row 217134
thread 23 72 on row 217181
thread 24 72 on row 217228
thread 25 72 on row 217275
thread 26 72 on row 217322
thread 27 72 on row 217369
thread 28 72 on row 217416
thread 29 72 on row 217463
thread 30 72 on row 217510
thread 31 72 on row 217557
thread 0 63 on row 189098
thread 1 63 on row 189145
thread 2 63 on row 189192
thread 3 63 on row 189239
thread 4 63 on row 189286
thread 5 63 on row 189333
thread 6 63 on row 189380
thread 7 63 on row 189427
thread 8 63 on row 189474
thread 9 63 on row 189521
thread 10 63 on row 189568
thread 11 63 on row 189615
thread 12 63 on row 189662
thread 13 63 on row 189709
thread 14 63 on row 189756
thread 15 63 on row 189803
thread 16 63 on row 189850
thread 17 63 on row 189897
thread 18 63 on row 189944
thread 19 63 on row 189991
thread 20 63 on row 190038
thread 21 63 on row 190085
thread 22 63 on row 190132
thread 23 63 on row 190179
thread 24 63 on row 190226
thread 25 63 on row 190273
thread 26 63 on row 190320
thread 27 63 on row 190367
thread 28 63 on row 190414
thread 29 63 on row 190461
thread 30 63 on row 190508
thread 31 63 on row 190555
thread 0 38 on row 114077
thread 1 38 on row 114124
thread 2 38 on row 114171
thread 3 38 on row 114218
thread 4 38 on row 114265
thread 5 38 on row 114312
thread 6 38 on row 114359
thread 7 38 on row 114406
thread 8 38 on row 114453
thread 9 38 on row 114500
thread 10 38 on row 114547
thread 11 38 on row 114594
thread 12 38 on row 114641
thread 13 38 on row 114688
thread 14 38 on row 114735
thread 15 38 on row 114782
thread 16 38 on row 114829
thread 17 38 on row 114876
thread 18 38 on row 114923
thread 19 38 on row 114970
thread 20 38 on row 115017
thread 21 38 on row 115064
thread 22 38 on row 115111
thread 23 38 on row 115158
thread 24 38 on row 115205
thread 25 38 on row 115252
thread 26 38 on row 115299
thread 27 38 on row 115346
thread 28 38 on row 115393
thread 29 38 on row 115440
thread 30 38 on row 115487
thread 31 38 on row 115534
thread 0 64 on row 192102
thread 1 64 on row 192149
thread 2 64 on row 192196
thread 3 64 on row 192243
thread 4 64 on row 192290
thread 5 64 on row 192337
thread 6 64 on row 192384
thread 7 64 on row 192431
thread 8 64 on row 192478
thread 9 64 on row 192525
thread 10 64 on row 192572
thread 11 64 on row 192619
thread 12 64 on row 192666
thread 13 64 on row 192713
thread 14 64 on row 192760
thread 15 64 on row 192807
thread 16 64 on row 192854
thread 17 64 on row 192901
thread 18 64 on row 192948
thread 19 64 on row 192995
thread 20 64 on row 193042
thread 21 64 on row 193089
thread 22 64 on row 193136
thread 23 64 on row 193183
thread 24 64 on row 193230
thread 25 64 on row 193277
thread 26 64 on row 193324
thread 27 64 on row 193371
thread 28 64 on row 193418
thread 29 64 on row 193465
thread 30 64 on row 193512
thread 31 64 on row 193559
thread 0 80 on row 240102
thread 1 80 on row 240149
thread 2 80 on row 240196
thread 3 80 on row 240243
thread 4 80 on row 240290
thread 5 80 on row 240337
thread 6 80 on row 240384
thread 7 80 on row 240431
thread 8 80 on row 240478
thread 9 80 on row 240525
thread 10 80 on row 240572
thread 11 80 on row 240619
thread 12 80 on row 240666
thread 13 80 on row 240713
thread 14 80 on row 240760
thread 15 80 on row 240807
thread 16 80 on row 240854
thread 17 80 on row 240901
thread 18 80 on row 240948
thread 19 80 on row 240995
thread 20 80 on row 241042
thread 21 80 on row 241089
thread 22 80 on row 241136
thread 23 80 on row 241183
thread 24 80 on row 241230
thread 25 80 on row 241277
thread 26 80 on row 241324
thread 27 80 on row 241371
thread 28 80 on row 241418
thread 29 80 on row 241465
thread 30 80 on row 241512
thread 31 80 on row 241559
thread 0 13 on row 39036
thread 1 13 on row 39083
thread 2 13 on row 39130
thread 3 13 on row 39177
thread 4 13 on row 39224
thread 5 13 on row 39271
thread 6 13 on row 39318
thread 7 13 on row 39365
thread 8 13 on row 39412
thread 9 13 on row 39459
thread 10 13 on row 39506
thread 11 13 on row 39553
thread 13 13 on row 39647
thread 15 13 on row 39741
thread 17 13 on row 39835
thread 19 13 on row 39929
thread 20 13 on row 39976
thread 21 13 on row 40023
thread 22 13 on row 40070
thread 23 13 on row 40117
thread 24 13 on row 40164
thread 25 13 on row 40211
thread 26 13 on row 40258
thread 27 13 on row 40305
thread 28 13 on row 40352
thread 29 13 on row 40399
thread 30 13 on row 40446
thread 31 13 on row 40493
thread 0 39 on row 117075
thread 1 39 on row 117122
thread 2 39 on row 117169
thread 3 39 on row 117216
thread 4 39 on row 117263
thread 5 39 on row 117310
thread 6 39 on row 117357
thread 7 39 on row 117404
thread 8 39 on row 117451
thread 9 39 on row 117498
thread 10 39 on row 117545
thread 11 39 on row 117592
thread 12 39 on row 117639
thread 13 39 on row 117686
thread 14 39 on row 117733
thread 15 39 on row 117780
thread 16 39 on row 117827
thread 17 39 on row 117874
thread 18 39 on row 117921
thread 19 39 on row 117968
thread 20 39 on row 118015
thread 21 39 on row 118062
thread 22 39 on row 118109
thread 23 39 on row 118156
thread 24 39 on row 118203
thread 25 39 on row 118250
thread 26 39 on row 118297
thread 27 39 on row 118344
thread 28 39 on row 118391
thread 29 39 on row 118438
thread 30 39 on row 118485
thread 31 39 on row 118532
thread 32 15 on row 46539
thread 33 15 on row 46586
thread 34 15 on row 46633
thread 35 15 on row 46680
thread 36 15 on row 46727
thread 37 15 on row 46774
thread 38 15 on row 46821
thread 39 15 on row 46868
thread 40 15 on row 46915
thread 41 15 on row 46962
thread 42 15 on row 47009
thread 43 15 on row 47056
thread 44 15 on row 47103
thread 45 15 on row 47150
thread 46 15 on row 47197
thread 47 15 on row 47244
thread 48 15 on row 47291
thread 49 15 on row 47338
thread 50 15 on row 47385
thread 51 15 on row 47432
thread 52 15 on row 47479
thread 53 15 on row 47526
thread 54 15 on row 47573
thread 55 15 on row 47620
thread 56 15 on row 47667
thread 57 15 on row 47714
thread 58 15 on row 47761
thread 59 15 on row 47808
thread 60 15 on row 47855
thread 61 15 on row 47902
thread 62 15 on row 47949
thread 63 15 on row 47996
thread 32 93 on row 280624
thread 33 93 on row 280671
thread 34 93 on row 280718
thread 35 93 on row 280765
thread 36 93 on row 280812
thread 37 93 on row 280859
thread 38 93 on row 280906
thread 39 93 on row 280953
thread 40 93 on row 281000
thread 41 93 on row 281047
thread 42 93 on row 281094
thread 43 93 on row 281141
thread 44 93 on row 281188
thread 45 93 on row 281235
thread 46 93 on row 281282
thread 47 93 on row 281329
thread 48 93 on row 281376
thread 49 93 on row 281423
thread 50 93 on row 281470
thread 51 93 on row 281517
thread 52 93 on row 281564
thread 53 93 on row 281611
thread 54 93 on row 281658
thread 55 93 on row 281705
thread 56 93 on row 281752
